Gene_ID	adrenal.gland	colon	esophagus	gall.bladder	heart	kidney	liver	lung	ovary	pancreas	rectum	testis	urinary.bladder
ENSG00000108381	1.460666899	0	0.649052175	1.177981756	0	4.254033802	0	0	2.996140635	0	1.342361733	2.639137467	1.401288393
ENSG00000108387	0	0	0	1.224554941	0	0	0	0	0	2.908715172	0	0	0
ENSG00000108405	0	0	0	0	0	0	0	0	0	0	0	0	3.216588137
ENSG00000108406	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108424	25.64671088	20.74686398	12.54879719	7.574369777	10.19385744	9.22857296	11.43350008	5.355532103	87.56039044	27.42823034	22.12348845	52.68313549	12.57723231
ENSG00000108439	6.207669901	5.049160419	0	3.72462522	5.285468373	14.57434137	20.54246185	3.60309343	9.008112988	7.787813516	4.157918712	7.468658409	3.177198569
ENSG00000108443	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108465	5.25447791	1.822709191	1.75984675	4.704286359	2.657542999	0.683248493	9.510737093	2.60647669	4.896876274	18.48916531	5.594349129	4.082421204	1.753149264
ENSG00000108468	11.81412607	0	0	0	0	0	0	0	11.75459418	4.649778399	2.213699019	12.10268848	0
ENSG00000108469	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108479	3.330517708	4.435595232	2.016719513	2.400804269	0.832117252	10.16434423	31.96392382	4.541242956	19.29933227	11.01713844	6.74271154	14.13984753	3.31893238
ENSG00000108506	0	0	0	0	0	0	0	0	0	0.605606856	0	0.761225246	0
ENSG00000108515	0	0	208.1251138	0	113.3229402	0	20.80664908	0	0	0	0	1.462539961	25.33062606
ENSG00000108518	70.75599667	426.2516558	117.4247194	126.9862497	18.26262567	64.37613178	78.00124652	54.43859394	57.61277031	198.8556811	249.4737819	61.5175878	223.5676394
ENSG00000108523	0	0	0	0	0	0	0	0	0	0	0	0.827521941	0
ENSG00000108528	59.21762208	19.48616329	17.4691917	17.4961164	111.8482077	36.73157881	31.14461706	16.95001335	9.606353678	6.193139386	13.27289193	17.17635836	11.81423193
ENSG00000108557	0	0	0	0	0	0	0	0	0	0	0	0	0
