Gene ID	brain	liver	testis
ENSMUSG00000002983	0	0.058790935	0.032279207
ENSMUSG00000002984	1.115895679	14.63241631	39.5917785
ENSMUSG00000002985	181.6554694	334.9377599	10.07212543
ENSMUSG00000002997	138.830371	0.754052433	31.28347651
ENSMUSG00000003031	5.91658216	1.795372198	1.794760142
ENSMUSG00000003033	28.36275962	4.562500213	83.71614294
ENSMUSG00000003037	94.55819309	19.79687481	26.84585904
ENSMUSG00000003053	0.033402637	113.3769147	0.141130337
ENSMUSG00000003072	260.4273399	336.8567653	122.5107619
ENSMUSG00000003099	37.84864811	3.673015269	62.66479933
ENSMUSG00000003131	494.027328	31.30896239	160.8996064
ENSMUSG00000003134	0.025751439	0.027830117	0.129401731
ENSMUSG00000003135	0.731714846	0	4.57848737
ENSMUSG00000003153	38.45707929	0.021438402	937.9143398
ENSMUSG00000003184	1.41630564	0.541243809	4.789000806
ENSMUSG00000003200	17.29870869	0.130602582	43.88118761
ENSMUSG00000003208	0	0	0.314489519
ENSMUSG00000003226	1.573980933	0.135750184	1.04845188
ENSMUSG00000003228	0.041762341	0	0.033630349
ENSMUSG00000003234	3.704476722	2.295675063	41.60626114
ENSMUSG00000003235	5.10894262	4.184404281	38.73994012
ENSMUSG00000003299	7.0982072	6.287011839	1.733893988
ENSMUSG00000003308	0	0.043518634	0.039221977
ENSMUSG00000003316	7.648849167	0.6610844	4.240198178
ENSMUSG00000003346	0.848326908	0	2.145711797
ENSMUSG00000003348	0	0	0
ENSMUSG00000003354	0	0	7.277894111
ENSMUSG00000003355	0	50.45882118	0.525895083
ENSMUSG00000003363	25.66780883	0.528089545	10.9531738
ENSMUSG00000003379	0	0	0
ENSMUSG00000003380	15.95687127	11.93284248	22.829844
ENSMUSG00000003411	23.86882581	0.069810305	0.309093583
ENSMUSG00000003420	0	3.42535984	8.59018566
ENSMUSG00000003423	0.288856816	0.672948522	34.36419604
ENSMUSG00000003429	12.99975477	225.2821597	56.65876322
ENSMUSG00000003435	2.785722143	0.921835745	12.1873322
ENSMUSG00000003437	0.145215375	0.022410871	2.723292749
ENSMUSG00000003438	31.43545455	36.38914024	60.38411719
