Gene ID	brain	liver	testis
ENSMUSG00000007815	16	13	6
ENSMUSG00000007836	39	11	21
ENSMUSG00000007850	79	35	73
ENSMUSG00000007877	3	0	0
ENSMUSG00000007880	9	3	6
ENSMUSG00000007891	178	165	25
ENSMUSG00000007892	198	136	94
ENSMUSG00000007907	1	0	727
ENSMUSG00000007944	45	0	0
ENSMUSG00000007987	11	0	19
ENSMUSG00000008035	31	14	3
ENSMUSG00000008036	77	26	52
ENSMUSG00000008136	31	0	5
ENSMUSG00000008153	79	1	1
ENSMUSG00000008226	9	18	2
ENSMUSG00000008301	52	30	15
ENSMUSG00000008333	16	9	23
ENSMUSG00000008373	8	3	7
ENSMUSG00000008393	15	18	64
ENSMUSG00000008435	4	2	0.5
ENSMUSG00000008450	9	2	2
ENSMUSG00000008475	37	27	10
ENSMUSG00000008540	3	825	8
ENSMUSG00000008601	0	0	0
ENSMUSG00000008604	28	9	9
ENSMUSG00000008668	58	91	70
ENSMUSG00000008682	32	58	6
ENSMUSG00000008683	35	32	42
ENSMUSG00000008734	33	0	4
ENSMUSG00000008822	6	2	61
ENSMUSG00000008843	0	0	2
ENSMUSG00000008845	0.5	2	0.5
ENSMUSG00000008859	36	16	22
ENSMUSG00000008892	64	33	138
ENSMUSG00000008976	7	13	7
ENSMUSG00000009013	78	6	121
ENSMUSG00000009030	9	10	2
ENSMUSG00000009079	50	18	78
ENSMUSG00000009090	34	12	9
ENSMUSG00000009112	5	4	4
ENSMUSG00000009207	7	0.9	13
ENSMUSG00000009281	11	444	7
ENSMUSG00000009293	9	9	12
ENSMUSG00000009350	0	0	1
ENSMUSG00000009394	56	0	1
ENSMUSG00000009418	4	0	0
ENSMUSG00000009535	14	3	3
ENSMUSG00000009549	131	59	240
ENSMUSG00000009575	20	4	8
ENSMUSG00000009596	0	0	13
ENSMUSG00000009614	2	111	1
ENSMUSG00000009621	1	3	2
ENSMUSG00000009628	0	0	9
ENSMUSG00000009630	114	26	93
ENSMUSG00000009640	11	4	27
ENSMUSG00000009647	4	2	4
ENSMUSG00000009681	17	6	3
ENSMUSG00000009687	4	0.6	1
